,host_name,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,ratings,beds,bathroom_type,property,room_type
8661,Sonder (NYC),Manhattan,Flatiron District,40.74245,-73.99145,611,2,3,7/24/2023,0.17,84,241,2,3,1 bed,1 bath,Boutique hotel in New York,Studio
8662,Sonder (NYC),Manhattan,Flatiron District,40.74247,-73.98998,513,2,53,10/17/2023,2.76,84,263,22,4.11,1 bed,1 bath,Boutique hotel in New York,Studio
8664,Doron,Manhattan,Harlem,40.81731,-73.93886,87,30,7,11/1/2023,0.37,6,258,4,4.86,1 bed,1 bath,Rental unit in New York,1 bedroom
8665,Vanessa,Manhattan,Harlem,40.82213,-73.95575,129,30,18,10/30/2023,0.91,9,69,11,4.94,1 bed,1 shared bath,Condo in New York,1 bedroom
8666,Charlotte,Bronx,Pelham Bay,40.8506,-73.83687,133,30,138,11/2/2023,6.93,1,365,75,4.92,1 bed,1 bath,Guest suite in Bronx,Studio
8667,Katherine,Manhattan,Midtown,40.752655,-73.972481,490,2,9,11/5/2023,0.47,2,10,4,5,2 beds,1 bath,Serviced apartment in New York,1 bedroom
8669,Daniela & James,Brooklyn,Bedford-Stuyvesant,40.69795,-73.93928,52,30,3,10/28/2023,0.18,31,364,1,2.33,1 bed,2 shared baths,Condo in Brooklyn,1 bedroom
8670,Rochelle,Bronx,Wakefield,40.88664,-73.85653,69,30,29,9/14/2023,1.55,1,182,18,4.55,1 bed,1 bath,Rental unit in Bronx,1 bedroom
8671,Jerry & Lynn,Manhattan,Midtown,40.75453,-73.97207,310,64,3,1/20/2023,0.17,13,140,1,5,3 beds,1 bath,Condo in New York,2 bedrooms
8672,Doron,Manhattan,Harlem,40.81547,-73.939,87,30,7,5/22/2023,0.37,6,236,2,4.29,1 bed,1 bath,Rental unit in New York,1 bedroom
8673,Javier,Queens,Elmhurst,40.73477,-73.87259,60,30,50,6/17/2023,2.5,4,365,15,4.34,1 bed,1 shared bath,Rental unit in Queens,1 bedroom
8674,Deirdre,Manhattan,Hell's Kitchen,40.75869,-73.99224,733,2,11,11/5/2023,0.57,6,30,2,4.82,2 beds,2 baths,Rental unit in New York,2 bedrooms
8675,Bobbi,Brooklyn,Bedford-Stuyvesant,40.69254,-73.93636,55,30,9,10/31/2023,0.48,2,361,5,4.33,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
8676,Danielle,Queens,Belle Harbor,40.579536,-73.849854,200,30,20,2/26/2023,1.1,1,155,4,4.65,4 beds,2 baths,Home in Queens,3 bedrooms
8677,Maria,Queens,Maspeth,40.72095,-73.90446,120,30,10,7/28/2023,0.52,1,88,3,5,2 beds,1 bath,Rental unit in Queens,1 bedroom
8678,Brandon,Brooklyn,Bedford-Stuyvesant,40.68738,-73.95282,68,30,53,10/30/2023,2.74,1,121,35,4.68,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
8679,Easton,Brooklyn,Williamsburg,40.7106,-73.96604,250,30,4,9/8/2023,0.28,2,180,2,4.25,2 beds,1 bath,Condo in Brooklyn,2 bedrooms
8680,Frank,Brooklyn,East Flatbush,40.64507,-73.94629,600,30,40,9/19/2023,2.05,3,365,20,4.8,9 beds,4 baths,Townhouse in Brooklyn,7 bedrooms
8681,Pao,Queens,Woodside,40.74417,-73.90968,235,30,41,9/13/2023,2.14,4,89,21,4.63,4 beds,1 bath,Rental unit in Queens,1 bedroom
8682,Karlyle,Brooklyn,Crown Heights,40.67539,-73.92655,181,30,70,11/10/2023,3.54,3,270,43,4.54,2 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
8683,Jt,Manhattan,Upper East Side,40.77156,-73.95503,144,30,6,8/25/2023,0.4,39,166,4,4.5,1 bed,1 bath,Rental unit in New York,1 bedroom
